family_id,family_name,hypothesis_class,train_net_pnl,validation_net_pnl,oos_net_pnl,train_profit_factor,validation_profit_factor,oos_profit_factor,train_expectancy,validation_expectancy,oos_expectancy,max_drawdown,trade_count,average_trade_pnl,average_win,average_loss,win_rate,cost_impact,slippage_impact,no_cost_result,realistic_cost_result,average_holding_time,pnl_by_side,pnl_by_setup,pnl_by_hour,pnl_by_regime
FAM_0000,breakout_scalp_range_breakout_fixed_stop_fixed_tp_0000,breakout_scalp,-244.9332823604925,92.36695427403711,-131.1606121017968,0.5860362073339141,92.36695427403711,0.22314220133054413,-18.841021720037887,46.183477137018556,-43.72020403393227,-440.9051622266471,18,-15.76260778823623,39.732155656178314,-126.75213467706533,0.6666666666666666,187.642557144659,-37.71649616440361,56.48194504286221,-131.1606121017968,10.666666666666666,{'short': -131.1606121017968},{'range_breakout': -131.1606121017968},"{'12': -16.867438387566736, '19': -114.29317371423005}",{'uptrend|high_vol': -131.1606121017968}
FAM_0001,breakout_scalp_range_breakout_fixed_stop_fixed_tp_0001,breakout_scalp,1151.4712035870898,562.7075951218306,471.37980861518196,1.9738724310681328,2.6833219398225445,2.134081080001699,19.516461077747284,23.446149796742944,21.426354937053727,-334.2840022516141,105,20.814843879277166,46.268036198921045,-120.7685383987419,0.8476190476190476,881.5086027076595,-274.5896880874337,1352.8884113228414,471.37980861518196,2.4545454545454546,{'long': 471.37980861518196},{'range_breakout': 471.37980861518196},"{'10': 169.36948972410815, '11': 41.23420311335635, '12': 37.91846348449968, '16': 57.77987740012352, '17': 157.85888058473455, '18': 94.63788969118488, '19': 47.34744493647131, '22': -136.50259652410617, '23': 133.91939729835684, '00': -52.93964780950799, '01': 56.228132401478454, '02': -135.4717256855177}","{'uptrend|high_vol': 628.5666849076699, 'uptrend|low_vol': -157.18687629248808}"
FAM_0002,breakout_scalp_range_breakout_fixed_stop_fixed_tp_0002,breakout_scalp,503.55957527048474,-3.394206698664398,471.8780719493648,1.488487275550254,0.9931932634192524,5.780829915576538,4.127537502217088,-0.07071263955550829,11.235192189270592,-246.48958910530143,212,4.58511056849616,13.403374519948299,-90.45617868604356,0.9150943396226415,1597.3386185963477,-523.2675708108742,2069.2166905457125,471.8780719493648,1.5714285714285714,{'long': 471.8780719493648},{'range_breakout': 471.8780719493648},"{'10': 128.48897901154191, '11': 48.023967956542805, '12': 21.25902209075192, '16': 46.56978785223661, '17': 68.28901587421217, '18': 63.62827894737459, '19': 13.462299946764027, '22': -98.70212500384662, '23': 51.716906635390146, '00': 84.98070632676368, '01': 38.11340347625908, '02': 6.047828835374688}","{'uptrend|high_vol': 481.8627289613104, 'uptrend|low_vol': -9.984657011945465}"
FAM_0003,breakout_scalp_range_breakout_fixed_stop_fixed_tp_0003,breakout_scalp,2239.5291522862244,553.6815649420132,574.3384868757762,2.985090187313406,1.9274234425186034,2.097261149633052,33.425808243077974,21.295444805462047,23.930770286490674,-264.79023139571893,117,28.782471829948843,59.11751492846006,-102.20975973180421,0.811965811965812,949.3337302242094,-299.7567591489405,1523.6722170999856,574.3384868757762,3.9583333333333335,"{'long': 568.9945608275875, 'short': 5.343926048188592}",{'range_breakout': 574.3384868757762},"{'10': 211.17880197941105, '11': 53.03070751409625, '12': 113.9463565025714, '16': 71.78704047229192, '17': 203.5757243197544, '18': 114.53817001887181, '19': -59.34249495093976, '22': -98.70212500384662, '23': 165.0751435129044, '00': 12.182625436514513, '01': -114.42379998833454, '02': -98.50766293751866}","{'uptrend|high_vol': 484.335930291143, 'uptrend|low_vol': 90.00255658463325}"
FAM_0004,breakout_scalp_range_breakout_fixed_stop_fixed_tp_0004,breakout_scalp,3083.587608122478,1196.7185441126553,1505.5975297969494,2.241327665902942,2.3351843035864914,3.3656133145469886,38.06898281632689,36.2641983064441,51.917156199894805,-323.0352021427975,143,40.46086490931527,94.25725042039191,-102.99616312022249,0.7272727272727273,1144.4669876958937,-361.8112998876885,2650.064517492843,1505.5975297969494,6.413793103448276,{'long': 1505.5975297969494},{'range_breakout': 1505.5975297969494},"{'10': 529.1604696101347, '11': 83.92631427794888, '12': -33.64332870120916, '16': 190.0079200680251, '17': 322.72641719789533, '18': 158.65616605885998, '19': -106.34589126683734, '22': -98.70212500384662, '23': 295.54553670865505, '00': 153.318802157964, '01': 109.4549116268779, '02': -98.50766293751866}","{'uptrend|high_vol': 1168.6497479417355, 'uptrend|low_vol': 336.9477818552134}"
FAM_0005,breakout_scalp_range_breakout_fixed_stop_fixed_tp_0005,breakout_scalp,466.34900732921005,112.02255627702053,-3.575240491834819,3.0294908093279402,112.02255627702053,0.9857678743414117,14.131788100885153,22.404511255404106,-0.27501849937190914,-150.4568403497362,51,11.270516139497957,23.46203794074751,-80.16589736987369,0.8823529411764706,521.4303687418469,-164.65519943873053,517.8551282500121,-3.575240491834819,1.8461538461538463,"{'long': -62.512669014057415, 'short': 58.937428522222596}",{'range_breakout': -3.575240491834819},"{'12': -9.664360520457038, '00': 31.940070732296583, '01': -25.850950703674357}","{'uptrend|low_vol': -26.573677005282306, 'uptrend|high_vol': 22.99843651344748}"
FAM_0006,breakout_scalp_range_breakout_fixed_stop_fixed_tp_0006,breakout_scalp,135.51209511246878,-114.53520388503846,138.01037697477366,1.5320955851989015,0.29975644460027245,138.01037697477366,16.939011889058598,-57.26760194251923,69.00518848738683,-152.2014992915771,12,13.248939016850334,64.13647812878898,-139.41367831896562,0.75,76.99374988237034,-24.30843528273882,215.004126857144,138.01037697477366,8.5,{'long': 138.01037697477366},{'range_breakout': 138.01037697477366},"{'09': 61.63673592734318, '16': 76.37364104743048}",{'downtrend|high_vol': 138.01037697477366}
FAM_0007,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0007,breakdown_scalp,97.71887027799087,-3.220044741185518,361.76759829486855,1.0674104452078057,0.9935697173912613,2.3549499740332855,3.257295675933029,-0.3220044741185518,36.176759829486855,-647.0411477455486,50,9.125328476633479,83.55113162698972,-123.1872104573332,0.64,309.4975357051326,-125.28178923705231,671.2651340000011,361.76759829486855,11.4,"{'long': 195.37002088713822, 'short': 166.39757740773032}",{'range_breakout': 361.76759829486855},"{'10': 193.74020196547087, '12': 34.350936666722006, '17': 60.77459700198678, '18': 68.48030845439473, '19': 73.19225578695054, '23': 65.80883845371417, '01': -134.57954003437058}","{'uptrend|high_vol': 93.14076455501325, 'uptrend|low_vol': 268.6268337398553}"
FAM_0008,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0008,breakdown_scalp,2327.924065879665,-25.909012308362037,965.2250033201196,2.612969731706529,0.9772194083000406,2.8510148653147973,43.923095582635185,-1.0795421795150848,45.963095396196174,-410.75836418872694,98,33.33918425399411,95.06386541894798,-100.06577181219645,0.6836734693877551,809.6735612870109,-262.3989858195237,1774.8985646071305,965.2250033201196,5.428571428571429,{'long': 965.2250033201196},{'range_breakout': 965.2250033201196},"{'10': 313.00605725423503, '11': 83.92631427794888, '12': 78.96379079115599, '16': 108.47246756606214, '17': 277.01556770042856, '18': 178.5785207404823, '19': -106.34589126683734, '22': -98.70212500384662, '23': 267.17154921921326, '00': 76.07021496713067, '01': -114.42379998833454, '02': -98.50766293751866}","{'uptrend|high_vol': 871.0657870350847, 'uptrend|low_vol': 94.15921628503503}"
FAM_0009,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0009,breakdown_scalp,2958.969099894273,981.7963657741708,1327.7386588283373,2.93241585555128,2.1756952252346684,3.2314689950199744,62.956789359452614,49.08981828870854,73.76325882379652,-588.6903056468573,85,61.982401464668015,139.48840441116488,-113.89660522161333,0.6941176470588235,691.1813732859334,-224.60081698033565,2018.9200321142707,1327.7386588283373,10.666666666666666,{'long': 1327.7386588283373},{'range_breakout': 1327.7386588283373},"{'10': 458.88166925373815, '11': 108.90003246627742, '12': -44.32704859863227, '16': 201.85355471384418, '17': 431.7751587998639, '18': 145.65656875251756, '19': -148.70232250397328, '22': -136.50259652410617, '23': 241.56777283493582, '00': 204.10759531938976, '02': -135.4717256855177}","{'uptrend|high_vol': 1026.670005095186, 'uptrend|low_vol': 301.0686537331514}"
