family_id,family_name,hypothesis_class,rule_summary,parameter_json
FAM_0000,breakout_scalp_range_breakout_fixed_stop_fixed_tp_0000,breakout_scalp,"breakout_scalp using range_breakout, confirmed by rsi_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'rsi_filter', 'position_mode': 'short_only', 'lookback': 16, 'stop_atr': 1.8, 'tp_r': 0.8, 'trail_atr': 1.6, 'time_stop_bars': 15, 'rsi_len': 9, 'rsi_band': 35, 'ema_fast': 8, 'ema_slow': 89, 'throttle_bars': 8, 'risk_per_trade': 0.001, 'volatility_window': 50}"
FAM_0001,breakout_scalp_range_breakout_fixed_stop_fixed_tp_0001,breakout_scalp,"breakout_scalp using range_breakout, confirmed by ema_alignment, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'ema_alignment', 'position_mode': 'long_only', 'lookback': 16, 'stop_atr': 1.8, 'tp_r': 0.8, 'trail_atr': 1.0, 'time_stop_bars': 15, 'rsi_len': 9, 'rsi_band': 75, 'ema_fast': 12, 'ema_slow': 89, 'throttle_bars': 13, 'risk_per_trade': 0.003, 'volatility_window': 20}"
FAM_0002,breakout_scalp_range_breakout_fixed_stop_fixed_tp_0002,breakout_scalp,"breakout_scalp using range_breakout, confirmed by atr_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'atr_filter', 'position_mode': 'long_only', 'lookback': 30, 'stop_atr': 1.1, 'tp_r': 0.8, 'trail_atr': 0.7, 'time_stop_bars': 25, 'rsi_len': 7, 'rsi_band': 75, 'ema_fast': 8, 'ema_slow': 55, 'throttle_bars': 2, 'risk_per_trade': 0.002, 'volatility_window': 50}"
FAM_0003,breakout_scalp_range_breakout_fixed_stop_fixed_tp_0003,breakout_scalp,"breakout_scalp using range_breakout, confirmed by vwap_distance, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'vwap_distance', 'position_mode': 'long_short', 'lookback': 8, 'stop_atr': 1.1, 'tp_r': 1.5, 'trail_atr': 0.7, 'time_stop_bars': 25, 'rsi_len': 9, 'rsi_band': 70, 'ema_fast': 21, 'ema_slow': 89, 'throttle_bars': 13, 'risk_per_trade': 0.003, 'volatility_window': 50}"
FAM_0004,breakout_scalp_range_breakout_fixed_stop_fixed_tp_0004,breakout_scalp,"breakout_scalp using range_breakout, confirmed by range_percentile, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'range_percentile', 'position_mode': 'long_only', 'lookback': 12, 'stop_atr': 1.1, 'tp_r': 2.0, 'trail_atr': 1.0, 'time_stop_bars': 40, 'rsi_len': 9, 'rsi_band': 65, 'ema_fast': 21, 'ema_slow': 34, 'throttle_bars': 2, 'risk_per_trade': 0.003, 'volatility_window': 50}"
FAM_0005,breakout_scalp_range_breakout_fixed_stop_fixed_tp_0005,breakout_scalp,"breakout_scalp using range_breakout, confirmed by session_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'session_filter', 'position_mode': 'long_short', 'lookback': 30, 'stop_atr': 0.7, 'tp_r': 1.5, 'trail_atr': 1.6, 'time_stop_bars': 40, 'rsi_len': 7, 'rsi_band': 25, 'ema_fast': 12, 'ema_slow': 34, 'throttle_bars': 3, 'risk_per_trade': 0.001, 'volatility_window': 20}"
FAM_0006,breakout_scalp_range_breakout_fixed_stop_fixed_tp_0006,breakout_scalp,"breakout_scalp using range_breakout, confirmed by rsi_filter, gated by downtrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'downtrend_only', 'confirmation': 'rsi_filter', 'position_mode': 'long_only', 'lookback': 8, 'stop_atr': 1.8, 'tp_r': 1.0, 'trail_atr': 1.0, 'time_stop_bars': 15, 'rsi_len': 14, 'rsi_band': 75, 'ema_fast': 21, 'ema_slow': 34, 'throttle_bars': 2, 'risk_per_trade': 0.003, 'volatility_window': 50}"
FAM_0007,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0007,breakdown_scalp,"breakdown_scalp using range_breakout, confirmed by rsi_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'rsi_filter', 'position_mode': 'long_short', 'lookback': 20, 'stop_atr': 1.4, 'tp_r': 1.5, 'trail_atr': 1.6, 'time_stop_bars': 40, 'rsi_len': 14, 'rsi_band': 70, 'ema_fast': 8, 'ema_slow': 34, 'throttle_bars': 3, 'risk_per_trade': 0.002, 'volatility_window': 20}"
FAM_0008,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0008,breakdown_scalp,"breakdown_scalp using range_breakout, confirmed by ema_alignment, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'ema_alignment', 'position_mode': 'long_only', 'lookback': 8, 'stop_atr': 1.1, 'tp_r': 2.0, 'trail_atr': 1.0, 'time_stop_bars': 25, 'rsi_len': 7, 'rsi_band': 75, 'ema_fast': 12, 'ema_slow': 55, 'throttle_bars': 13, 'risk_per_trade': 0.001, 'volatility_window': 50}"
FAM_0009,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0009,breakdown_scalp,"breakdown_scalp using range_breakout, confirmed by atr_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'atr_filter', 'position_mode': 'long_only', 'lookback': 8, 'stop_atr': 1.8, 'tp_r': 2.0, 'trail_atr': 1.6, 'time_stop_bars': 15, 'rsi_len': 9, 'rsi_band': 75, 'ema_fast': 8, 'ema_slow': 34, 'throttle_bars': 13, 'risk_per_trade': 0.002, 'volatility_window': 20}"
