family_id,fee_stress_pnl_delta,slippage_stress_pnl_delta,parameter_stability,outlier_dependence,baseline_oos_trade_count
FAM_0000,-60.34639386304576,-25.146762601130234,75.37847550242866,0.7358874530174196,3
FAM_0001,-439.34350093989394,-142.25051844437382,553.0230796541546,0.1102918728561984,22
FAM_0002,-837.2281132973983,-493.9948316888541,-275.1084144307496,0.18199506672244997,42
FAM_0003,-479.610814638305,-156.98161340738608,380.97039783084426,0.07057983266244107,24
FAM_0004,-578.8980798203022,-804.2701067254054,606.6916569658066,0.04298463179048926,29
FAM_0005,-263.4483191019689,-166.1381986817164,81.2479975617185,0.17671454018712604,13
FAM_0006,-38.893496452382124,-172.40842786308812,-118.33078192060623,0.5533905690395332,2
FAM_0007,-200.4508627792837,-62.68986216490032,-59.81865462648577,0.15024034948357984,10
FAM_0008,-419.83837731123776,-131.4356732983149,-122.41520246729482,0.056980009141506846,21
FAM_0009,-359.36130716853677,-84.74295242521453,1004.639598672632,0.08017214353103189,18
FAM_0010,-80.74451004072213,-25.20167895848475,65.39352397533222,0.5243765401786836,4
FAM_0011,-499.3316237224591,-123.96756418007749,239.32458604208864,0.057698788314069396,25
FAM_0012,-121.58455465379512,-44.349102853109116,-29.442282402055497,0.2415261645123463,6
FAM_0013,-297.4522608796,-167.03412439422627,-221.74680496916181,0.14029473831203598,15
FAM_0014,-160.29449418546108,-260.87347985665474,70.24349374874726,0.15380228623197664,8
FAM_0015,-439.37596486415265,-142.1394251257289,214.71363447383263,0.07478103279003363,22
FAM_0016,-719.5893265702384,-315.06686381267497,250.65058393784193,0.088109885578892,36
FAM_0017,-80.72885430625014,-158.3000548160648,80.77125908958544,0.3717842395837467,4
FAM_0018,-559.8727457040644,-269.1490412744184,0.7706310570012249,0.1525513948958625,28
FAM_0019,-141.89307858824972,-44.394969689928814,16.86411439893353,0.5743303022355828,7
FAM_0020,-218.42282016472842,113.53080621568792,104.20031215490725,0.14531561790124403,11
FAM_0021,-220.53292836428537,-68.96372851077078,-174.2401879020856,0.6629315998333313,11
FAM_0022,-578.8609905049005,-490.34905804398613,433.48156007326725,0.06544195097187706,29
FAM_0023,-80.72680140221755,-25.190608292858357,49.60504843940285,0.396811845099519,4
FAM_0024,-80.72680140221755,-25.190608292858357,49.60504843940285,0.396811845099519,4
FAM_0025,-499.33807543162436,-220.04475268348813,641.2073291901038,0.06580743603171334,25
FAM_0026,-40.53555754297159,-12.64081476422507,53.9352118597754,0.5327139966818589,2
FAM_0027,-298.51376105297913,-287.5079164599756,-171.94872483803593,0.10993400067815866,15
FAM_0028,-60.33437083315181,-18.83699306062094,-3.193238816255885,0.9263479241082389,3
FAM_0029,0,0,0.0,0.0,0
FAM_0030,-658.8836339927493,-1212.619636516457,788.5302433333618,0.051553606249326936,33
FAM_0031,-538.6056436173922,-299.28594265206584,174.15216772120823,0.1194770103050099,27
FAM_0032,-60.61214164419275,-18.896378759823335,107.98707972653901,0.38627822467692163,3
FAM_0033,-40.55337683492049,-12.651954605541569,22.878907640495015,0.5441722094432531,2
FAM_0034,-258.4497758251443,-77.15198666577157,-93.4751884858977,0.1659872349952503,13
FAM_0035,-60.30643678783288,-18.8195299182737,113.60255273855316,0.42206995755323284,3
FAM_0036,0,0,0.0,0.0,0
FAM_0037,-520.1047007016837,-428.81924093009775,307.84721800362274,0.11096492634271804,26
FAM_0038,-80.74825732639468,-25.204021597469662,-9.672689451005851,0.5604655036731394,4
FAM_0039,-759.5289569040862,-237.59011529530005,-1.0558785688198498,0.11626499712225459,38
FAM_0040,-101.20807769686212,170.8839065225618,-452.473164066487,0.2494925263635094,5
FAM_0041,-258.02102797817304,-80.54582662343532,-44.62986104445379,0.12975132595978264,13
FAM_0042,-160.29449418546108,-260.87347985665474,70.24349374874726,0.15380228623197664,8
FAM_0043,-738.6981633003288,-198.96079411154142,721.3901720448316,0.05148403375533276,37
FAM_0044,-679.1829831228089,-219.10885895399133,454.7436393124264,0.05856059084206401,34
FAM_0045,-538.6071833439594,-301.66479984782757,168.7533991717832,0.126705492860276,27
FAM_0046,-439.4138619950883,-137.52726423716297,-13.190260984855854,0.06207411865657769,22
FAM_0047,-40.54605819715576,-81.50027133621663,35.634175444846484,0.5373797809144952,2
FAM_0048,-38.81610657693639,-12.131380161168892,-54.47694332779625,0.5176430021303955,2
FAM_0049,-60.340926464106275,-25.143344622636135,71.13135580953565,0.707999063285393,3
FAM_0050,0,0,0.0,0.0,0
FAM_0051,-80.76016577519408,-25.211466238366313,0.23684570367402102,0.8504307131488964,4
FAM_0052,-738.2074438983633,-386.3920498130975,369.7338459857657,0.08665909131760469,37
FAM_0053,-80.71395394786649,-25.182576626798067,-4.862303541826265,0.30788202681795895,4
FAM_0054,-40.555604246414106,-12.653347085707964,18.996869613084968,0.5476351642961981,2
FAM_0055,-58.16268235784696,-18.19319663819732,-123.9517579070141,0.6949287042243257,3
FAM_0056,-220.56721749497737,-81.57969866884605,-41.410740131576276,0.14350715228963937,11
FAM_0057,0,0,0.0,0.0,0
FAM_0058,-80.75809807377706,-25.21017360196643,-32.24226858553935,0.711472655044584,4
FAM_0059,-80.7518505773727,-25.206267940677655,80.06856297805928,0.5888954064098908,4
FAM_0060,-80.76642806898292,-25.215381150324802,-45.42534068332192,0.841211888969097,4
FAM_0061,-40.54605819715576,-81.50027133621663,35.634175444846484,0.5373797809144952,2
